movie_id,title,genres,score,tags,summary
19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",7.2,"action adventure fantasy sciencefiction samworthington zoesaldana sigourneyweaver cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d 22nd century, paraplegic marine dispatched moon pandora unique mission, becomes torn following orders protecting alien civilization.","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
285,Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",6.9,"adventure fantasy action johnnydepp orlandobloom keiraknightley ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger captain barbossa, long believed dead, come back life headed edge earth turner elizabeth swann. nothing quite seems.","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."
206647,Spectre,"['Action', 'Adventure', 'Crime']",6.3,"action adventure crime danielcraig christophwaltz léaseydoux spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom cryptic message bond’s past sends trail uncover sinister organization. battles political forces keep secret service alive, bond peels back layers deceit reveal terrible truth behind spectre.","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,"action crime drama thriller christianbale michaelcaine garyoldman dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman following death district attorney harvey dent, batman assumes responsibility dent's crimes protect late attorney's reputation subsequently hunted gotham city police department. eight years later, batman encounters mysterious selina kyle villainous bane, new terrorist leader overwhelms gotham's finest. dark knight resurfaces protect city branded enemy.","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
49529,John Carter,"['Action', 'Adventure', 'Science Fiction']",6.1,"action adventure sciencefiction taylorkitsch lynncollins samanthamorton basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d john carter war-weary, former military captain who's inexplicably transported mysterious exotic planet barsoom (mars) reluctantly becomes embroiled epic conflict. world brink collapse, carter rediscovers humanity realizes survival barsoom people rests hands.","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands."
559,Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",5.9,"fantasy action adventure tobeymaguire kirstendunst jamesfranco dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge seemingly invincible spider-man goes all-new crop villain – including shape-shifting sandman. spider-man’s superpowers altered alien organism, alter ego, peter parker, deals nemesis eddie brock also gets caught love triangle.","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle."
38757,Tangled,"['Animation', 'Family']",7.4,"animation family zacharylevi mandymoore donnamurphy hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick kingdom's wanted-and charming-bandit flynn rider hides mysterious tower, he's taken hostage rapunzel, beautiful feisty tower-bound teen 70 feet magical, golden hair. flynn's curious captor, who's looking ticket tower locked away years, strikes deal handsome thief unlikely duo sets action-packed escapade, complete super-cop horse, over-protective chameleon gruff gang pub thugs.","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
99861,Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",7.3,"action adventure sciencefiction robertdowneyjr. chrishemsworth markruffalo marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d tony stark tries jumpstart dormant peacekeeping program, things go awry earth’s mightiest heroes put ultimate test fate planet hangs balance. villainous ultron emerges, avengers stop enacting terrible plans, soon uneasy alliances unexpected action pave way epic unique global adventure.","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",7.4,"adventure fantasy family danielradcliffe rupertgrint emmawatson witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf harry begins sixth year hogwarts, discovers old book marked 'property half-blood prince', begins learn lord voldemort's dark past.","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."
209112,Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",5.7,"action adventure fantasy benaffleck henrycavill galgadot dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse fearing actions god-like super hero left unchecked, gotham city’s formidable, forceful vigilante takes metropolis’s revered, modern-day savior, world wrestles sort hero really needs. batman superman war one another, new threat quickly arises, putting mankind greater danger it’s ever known before.","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
